epoch,step,train/criterion_loss,val/frames_l1_loss,val/frames_mse_loss,val/images_l1_loss,val/images_mse_loss
0,49,0.000647830602247268,,,,
0,99,0.0007242266437970102,,,,
0,149,0.0009048496140167117,,,,
0,199,0.0007760930457152426,,,,
0,249,0.0007464146474376321,,,,
0,299,0.0008376065525226295,,,,
0,349,0.0008637641440145671,,,,
0,364,,0.0007974542677402496,5.3878997277934104e-05,0.0007974219624884427,5.387552300817333e-05
1,399,0.0009459464927203953,,,,
1,449,0.0011281834449619055,,,,
1,499,0.0007481026696041226,,,,
1,549,0.0006663741660304368,,,,
1,599,0.0008264469215646386,,,,
1,649,0.0007116987835615873,,,,
1,699,0.0008537463145330548,,,,
1,729,,0.0007974539184942842,5.387900455389172e-05,0.0007974219624884427,5.387552300817333e-05
2,749,0.000810642319265753,,,,
2,799,0.0006259263609535992,,,,
2,849,0.001002294011414051,,,,
2,899,0.0009074689587578177,,,,
2,949,0.0009519999148324132,,,,
2,999,0.0007420534384436905,,,,
2,1049,0.0007746114861220121,,,,
2,1094,,0.0007974539184942842,5.387900455389172e-05,0.0007974219624884427,5.387552300817333e-05
3,1099,0.0007400474860332906,,,,
3,1149,0.0009499769657850266,,,,
3,1199,0.0009734982741065323,,,,
3,1249,0.0008021249086596072,,,,
3,1299,0.0006823224248364568,,,,
3,1349,0.0007182618719525635,,,,
3,1399,0.001104990136809647,,,,
3,1449,0.0006266016280278563,,,,
3,1459,,0.0007974539184942842,5.387900455389172e-05,0.0007974219624884427,5.387552300817333e-05
4,1499,0.0006387876346707344,,,,
4,1549,0.0005537521792575717,,,,
4,1599,0.0007888586260378361,,,,
4,1649,0.0007677171379327774,,,,
4,1699,0.0007378507871180773,,,,
4,1749,0.000706156191881746,,,,
4,1799,0.0009436481050215662,,,,
4,1824,,0.0007974538602866232,5.387900455389172e-05,0.0007974219624884427,5.387552300817333e-05
5,1849,0.0009011687943711877,,,,
5,1899,0.0009938000002875924,,,,
5,1949,0.0007828725501894951,,,,
5,1999,0.0009068630170077085,,,,
5,2049,0.0009725793497636914,,,,
5,2099,0.0007562534301541746,,,,
5,2149,0.0006892382516525686,,,,
5,2189,,0.0007974538602866232,5.387900455389172e-05,0.0007974219624884427,5.387552300817333e-05
6,2199,0.000633733463473618,,,,
6,2249,0.0007339924341067672,,,,
6,2299,0.000658542150631547,,,,
6,2349,0.0006773265195079148,,,,
6,2399,0.0006984297069720924,,,,
6,2449,0.0008252021507360041,,,,
6,2499,0.001006052945740521,,,,
6,2549,0.0006935745477676392,,,,
6,2554,,0.0007974538602866232,5.387900455389172e-05,0.0007974219624884427,5.387552300817333e-05
7,2599,0.0010371116222813725,,,,
7,2649,0.000859593681525439,,,,
7,2699,0.000749520433600992,,,,
7,2749,0.0008480483083985746,,,,
7,2799,0.0007083054515533149,,,,
7,2849,0.0007875407463870943,,,,
7,2899,0.0006059322040528059,,,,
7,2919,,0.0007974538602866232,5.387900455389172e-05,0.0007974219624884427,5.387552300817333e-05
